codigo_pieza,nombre,color,precio,categoria_id
757,Escape,negro,154.03,2
108,Asientos,azul,212.02,5
219,Radiador,verde,139.66,5
649,Radiador,negro,335.28,2
586,Asientos,azul,412.14,2
331,Alfombrillas,negro,206.12,4
705,Motor de arranque,azul,456.27,5
686,Inyector,verde,33.23,1
175,Filtro de aceite,azul,32.37,6
290,Luces de freno,rojo,429.35,1
394,Batería,blanco,378.25,1
695,Embrague,blanco,142.49,1
494,Espejo retrovisor,verde,138.87,2
656,Disco de freno,verde,18.15,6
332,Embrague,verde,194.05,6
555,Inyector,blanco,107.26,6
942,Volante,azul,499.71,3
702,Amortiguador,negro,430.54,3
587,Ventilador,verde,100.07,2
809,Inyector,blanco,408.98,6
997,Pastilla de freno,negro,90.85,1
107,Filtro de aceite,blanco,332.8,6
418,Neumáticos de invierno,rojo,229.94,3
917,Motor de arranque,rojo,167.07,2
173,Embrague,blanco,79.56,6
510,Pastilla de freno,blanco,278.65,1
694,Luces de freno,blanco,83.03,6
890,Filtro de aceite,negro,28.67,4
742,Filtro de aceite,azul,315.46,1
553,Espejo retrovisor,azul,420.43,4
161,Alfombrillas,verde,213.63,2
140,Escape,verde,497.2,5
875,Faros delanteros,azul,369.01,3
272,Luces de freno,azul,394.92,1
675,Amortiguador,verde,197.57,2
931,Caja de cambios,blanco,454.69,1
508,Bujía,verde,421.71,3
240,Batería,blanco,250.24,4
847,Caja de cambios,verde,430.97,3
986,Pastilla de freno,negro,185.52,2
915,Espejos,verde,389.15,2
887,Alfombrillas,blanco,450.38,3
296,Faros delanteros,rojo,217.7,6
333,Caja de cambios,verde,122.12,6
104,Compresor,azul,50.62,3
834,Amortiguador,azul,219.05,6
341,Luces de freno,azul,380.09,5
912,Motor de arranque,verde,200.58,3
483,Radiador,negro,202.64,4
314,Neumaticos de veranoNeumatico de 4 estaciones,rojo,494.56,2
392,Caja de cambios,verde,267.79,2
710,Pastilla de freno,azul,153.73,5
429,Filtro de aceite,blanco,73.38,1
956,Embrague,rojo,493.18,1
689,Alternador,rojo,272.13,6
956,Faros delanteros,negro,114.08,3
362,Espejo retrovisor,azul,159.62,2
837,Ventilador,azul,392.17,1
881,Alternador,rojo,34.31,6
467,Caja de cambios,rojo,114.33,6
560,Amortiguador,rojo,257.73,4
143,Asientos,rojo,457.54,6
737,Neumaticos de veranoNeumatico de 4 estaciones,verde,70.92,6
756,Radiador,blanco,79.53,2
621,Espejo retrovisor,blanco,64.67,3
730,Asientos,verde,219.21,5
499,Batería,rojo,379.67,1
257,Espejo retrovisor,rojo,271.77,6
363,Faros delanteros,azul,490.23,5
205,Radiador,blanco,466.87,5
909,Motor de arranque,blanco,94.6,4
312,Escape,negro,382.24,1
891,Neumáticos de invierno,negro,34.89,2
313,Caja de cambios,azul,421.21,6
845,Escape,rojo,322.04,2
722,Luces de freno,rojo,221.57,4
281,Alternador,negro,367.43,3
535,Espejos,negro,314.86,2
374,Luces de freno,rojo,101.5,1
522,Escape,negro,303.24,1
331,Neumáticos de invierno,blanco,134.52,4
764,Inyector,rojo,194.43,6
970,Batería,blanco,88.54,2
348,Alfombrillas,verde,189.8,3
119,Parabrisas,negro,418.01,4
526,Espejo retrovisor,azul,420.57,2
810,Filtro de aceite,negro,207.29,6
628,Filtro de aceite,rojo,160.44,5
377,Volante,rojo,49.52,2
681,Amortiguador,negro,181.25,1
248,Neumáticos de invierno,negro,401.51,4
230,Disco de freno,azul,438.12,6
755,Motor de arranque,blanco,499.1,1
155,Bujía,verde,90.28,2
390,Espejo retrovisor,azul,180.05,4
697,Caja de cambios,negro,439.68,6
803,Compresor,negro,490.65,4
279,Radiador,blanco,189.97,2
440,Pastilla de freno,negro,137.96,4
302,Alfombrillas,azul,365.5,3
