nombre,direccion,ciudad,provincia,codigo_proveedor
Banca Privada IB S.Coop.,"Alameda de Salomé Perea 64, Navarra, 47769",Córdoba,Asturias,1978
Manufacturas IP S.L.U.,"Vial Morena Lladó 60, Cuenca, 29294",Ciudad,Segovia,6868
Tecnologías Enríquez S.A.U,"Pasaje Amor Calvo 67, Palencia, 13000",Ciudad,Valencia,1546
Carrera & Asociados S.A.U,"Calle Aránzazu Cardona 11 Apt. 45 , Salamanca, 06026",Santa Cruz de Tenerife,Guipúzcoa,4637
Hermanos Carrasco S.L.,"Rambla de Ricarda Pedrosa 82 Apt. 36 , Baleares, 06460",La Rioja,Cuenca,2431
Verónica Gibert Osorio S.Coop.,"Via Alfonso Lorenzo 56 Apt. 10 , La Rioja, 34590",Santa Cruz de Tenerife,Cantabria,8122
Rivera y Salazar S.L.,"Callejón Jose Ramón Colomer 64, Huesca, 07336",Cuenca,Guadalajara,1663
Grupo Ríos S.A.T.,"Callejón de Cruz Delgado 399, Madrid, 04394",Huelva,Vizcaya,6083
Eli Tomé Montes S.L.L.,"Pasaje de Enrique Ocaña 6 Puerta 4 , Jaén, 50469",Cáceres,Sevilla,6457
Banca Privada QYA S.C.P,"Urbanización de Amaya Gabaldón 370, Ávila, 38670",Las Palmas,Sevilla,7125
Acuña y Perales S.L.L.,"Acceso Iris Palacio 129 Piso 7 , Ávila, 50450",Córdoba,Navarra,8628
Construcción Catalá S.L.N.E,"Camino Rufino Ferrero 70, Girona, 03537",Vizcaya,Castellón,9152
Tecnologías Españolas S.Com.,"Paseo Néstor Casanova 99 Apt. 64 , Guadalajara, 45887",Soria,Albacete,7573
Peiró & Asociados S.A.,"Avenida de Maricela Vicens 3 Piso 2 , Soria, 03711",Ávila,Ourense,5550
Atienza y Rey S.A.,"C. Arsenio Chacón 16, Ourense, 48879",La Rioja,Cantabria,7829
Samper y Llorens S.Com.,"Cañada de Ester Quirós 1 Puerta 8 , Albacete, 19026",Baleares,Ourense,1341
Fábrica Farré y asociados S.A.,"Acceso Joel Puerta 33, Soria, 40888",Asturias,Guadalajara,7935
Manufacturas Integrales S.A.,"Camino de Ezequiel Amat 237 Piso 2 , Palencia, 21816",Toledo,Segovia,4800
Yuste y asociados S.A.,"Calle de Enrique Verdugo 67, Albacete, 50038",Zaragoza,Albacete,4452
Alimentación Lobo y asociados S.Coop.,"Rambla Amelia López 96, Castellón, 06986",Ávila,Girona,1337
Casas y Puente S.C.P,"Paseo de Noa Varela 70 Apt. 60 , Valencia, 38419",Huelva,Ávila,3683
Severo Correa Viñas S.L.,"Rambla de Sancho Blasco 891 Puerta 6 , Girona, 40277",Cuenca,Toledo,7927
Hnos Gargallo S.Coop.,"Vial de Encarnacion Viana 997, Badajoz, 14229",Murcia,Ourense,6068
Consultoría Españolas S.Com.,"Callejón de Felicia Tena 95 Apt. 16 , Melilla, 44829",Barcelona,Jaén,7798
Comercializadora del Noroeste S.L.N.E,"Avenida de Bernardo Iborra 68 Apt. 19 , Lleida, 34896",Soria,Badajoz,1723
Despacho del Mediterráneo S.A.,"Ronda Araceli Cepeda 73 Puerta 5 , Lleida, 47458",Segovia,Lugo,5809
Industrias Millán S.L.,"Paseo Sebastian Hurtado 10 Puerta 2 , Lugo, 01954",Zaragoza,Ceuta,3904
Varela y asociados S.L.,"Cuesta de Félix Robles 407 Piso 8 , Valladolid, 10085",Córdoba,Baleares,3045
Banca Privada ZWVQ S.A.,"Plaza de Bruno Elorza 14 Puerta 9 , Guadalajara, 32975",Zamora,Jaén,9562
Desarrollo Iberia S.A.,"Camino Gloria Heredia 68, Lleida, 50063",Murcia,Guipúzcoa,4764
Hermanos Ponce S.L.N.E,"C. Manuelita Solana 73, Castellón, 37447",Cáceres,Ourense,1475
Promociones Echeverría S.Com.,"Ronda Hernán Lluch 703 Apt. 49 , Huelva, 35505",Guipúzcoa,Zaragoza,7323
